name,grade,pool,campus
zlayine,4.29,august/2019,Khouribga
ael-bahr,4.05,august/2019,Benguerir
oel-bour,4.04,april/2019,Benguerir
ybarhdad,4.04,august/2019,Benguerir
ayennoui,4.04,august/2019,Khouribga
ibaali,4.02,july/2019,Benguerir
mbani,4.02,august/2019,Benguerir
mamoussa,4.02,august/2019,Benguerir
amoujane,4.01,august/2019,Khouribga
oimejad,4.0,july/2019,Benguerir
rfisssef,4.0,august/2018,Khouribga
aaqlzim,3.89,august/2019,Khouribga
yfarini,3.86,april/2019,Benguerir
mlasrite,3.85,august/2019,Benguerir
yslati,3.85,august/2019,Khouribga
obouykou,3.85,august/2019,Khouribga
elahyani,3.84,august/2019,Khouribga
ibouhiri,3.83,august/2019,Benguerir
aidrissi,3.83,august/2019,Khouribga
ichejra,3.83,august/2019,Khouribga
ylazrek,3.62,august/2019,Khouribga
mymik,3.55,august/2019,Khouribga
mbrija,3.54,april/2019,Benguerir
ielbadao,3.51,july/2019,Benguerir
amoussai,3.51,august/2019,Khouribga
molabhai,3.5,april/2019,Benguerir
smaniani,3.5,august/2019,Benguerir
oel-ouar,3.49,july/2019,Benguerir
youkhart,3.48,april/2019,Benguerir
ojoubout,3.4699999999999998,july/2019,Benguerir
zzarrafa,3.4699999999999998,august/2019,Benguerir
sel-fadi,3.4699999999999998,august/2019,Benguerir
helkhatr,3.43,august/2019,Khouribga
arraji,3.42,august/2019,Khouribga
isaadi,3.37,august/2019,Benguerir
ikhadem,3.37,july/2018,Khouribga
abel-mak,3.37,august/2019,Khouribga
mait-si-,3.36,august/2019,Benguerir
majermou,3.35,august/2019,Khouribga
mbari,3.35,august/2019,Khouribga
aait-hmi,3.33,july/2019,Benguerir
iounejja,3.33,august/2019,Khouribga
ychennaf,3.33,august/2019,Khouribga
mel-ghar,3.32,july/2019,Benguerir
aouahib,3.32,august/2019,Khouribga
ybouddou,3.32,august/2019,Khouribga
mashad,3.31,july/2019,Benguerir
mbelaman,3.31,august/2019,Khouribga
iltafah,3.31,august/2019,Khouribga
abbouzid,3.3,august/2019,Benguerir
mel-omar,3.3,august/2019,Benguerir
shikma,3.3,august/2019,Khouribga
mkaddani,3.29,august/2019,Benguerir
ael-fadi,3.29,august/2019,Benguerir
ozakkare,3.29,august/2019,Benguerir
mougnou,3.2800000000000002,april/2019,Benguerir
bamghoug,3.2800000000000002,april/2019,Benguerir
htagrour,3.2800000000000002,august/2019,Benguerir
abiari,3.27,april/2019,Benguerir
arhallab,3.26,april/2019,Benguerir
cbenali-,3.26,july/2019,Benguerir
melkarmi,3.26,august/2019,Benguerir
hchorfi,3.25,april/2019,Benguerir
ssghuri,3.25,august/2019,Benguerir
amouassi,3.25,august/2019,Khouribga
akhastaf,3.24,april/2019,Benguerir
hmoumani,3.24,april/2019,Benguerir
aamzil,3.24,august/2019,Benguerir
knabouss,3.24,august/2019,Khouribga
